,name,label,x_center,y_center,width,height,filepath
0,train\GreenLeafHopper (10),0,0.490992,0.540052,0.355797,0.614987,datasets/labels/train\GreenLeafHopper (10).txt
1,train\GreenLeafHopper (11),0,0.514491,0.556848,0.581851,0.702842,datasets/labels/train\GreenLeafHopper (11).txt
2,train\GreenLeafHopper (12),0,0.5,0.471576,0.176646,0.348837,datasets/labels/train\GreenLeafHopper (12).txt
3,train\GreenLeafHopper (15),0,0.54503,0.465116,0.263161,0.147287,datasets/labels/train\GreenLeafHopper (15).txt
4,train\GreenLeafHopper (16),0,0.276786,0.431818,0.530844,0.691558,datasets/labels/train\GreenLeafHopper (16).txt
5,train\GreenLeafHopper (17),0,0.490666,0.526427,0.882305,0.750529,datasets/labels/train\GreenLeafHopper (17).txt
6,train\GreenLeafHopper (2),0,0.41812,0.556848,0.735465,0.648579,datasets/labels/train\GreenLeafHopper (2).txt
7,train\GreenLeafHopper (21),0,0.518903,0.630491,0.917651,0.602067,datasets/labels/train\GreenLeafHopper (21).txt
8,train\GreenLeafHopper (22),0,0.501944,0.50969,0.701944,0.854005,datasets/labels/train\GreenLeafHopper (22).txt
9,train\GreenLeafHopper (23),0,0.393282,0.414083,0.609561,0.425065,datasets/labels/train\GreenLeafHopper (23).txt
10,train\GreenLeafHopper (23),0,0.723385,0.570413,0.444961,0.443152,datasets/labels/train\GreenLeafHopper (23).txt
11,train\GreenLeafHopper (24),0,0.512661,0.52584,0.824806,0.498708,datasets/labels/train\GreenLeafHopper (24).txt
12,train\GreenLeafHopper (25),0,0.476938,0.576227,0.869121,0.682171,datasets/labels/train\GreenLeafHopper (25).txt
13,train\GreenLeafHopper (27),0,0.562094,0.512262,0.620942,0.607324,datasets/labels/train\GreenLeafHopper (27).txt
14,train\GreenLeafHopper (28),0,0.590503,0.32617,0.476461,0.471722,datasets/labels/train\GreenLeafHopper (28).txt
15,train\GreenLeafHopper (29),0,0.426357,0.574935,0.195736,0.490956,datasets/labels/train\GreenLeafHopper (29).txt
16,train\GreenLeafHopper (30),0,0.552972,0.56137,0.732989,0.554264,datasets/labels/train\GreenLeafHopper (30).txt
17,train\GreenLeafHopper (31),0,0.55693,0.494186,0.46214,0.471576,datasets/labels/train\GreenLeafHopper (31).txt
18,train\GreenLeafHopper (32),0,0.463068,0.482868,0.669643,0.881827,datasets/labels/train\GreenLeafHopper (32).txt
19,train\GreenLeafHopper (33),0,0.626727,0.465116,0.561403,0.511628,datasets/labels/train\GreenLeafHopper (33).txt
20,train\GreenLeafHopper (34),0,0.593885,0.520026,0.515073,0.541344,datasets/labels/train\GreenLeafHopper (34).txt
