,name,label,x_center,y_center,width,height,filepath
0,val\GreenLeafHopper (1),0,0.482766,0.478682,0.427664,0.696382,datasets/labels/val\GreenLeafHopper (1).txt
1,val\GreenLeafHopper (13),0,0.48018,0.516796,0.456731,0.762274,datasets/labels/val\GreenLeafHopper (13).txt
2,val\GreenLeafHopper (14),0,0.475877,0.570413,0.176904,0.282946,datasets/labels/val\GreenLeafHopper (14).txt
3,val\GreenLeafHopper (18),0,0.505294,0.553618,0.853766,0.711886,datasets/labels/val\GreenLeafHopper (18).txt
4,val\GreenLeafHopper (19),0,0.399618,0.377907,0.323133,0.636951,datasets/labels/val\GreenLeafHopper (19).txt
5,val\GreenLeafHopper (19),0,0.684511,0.680233,0.304013,0.577519,datasets/labels/val\GreenLeafHopper (19).txt
6,val\GreenLeafHopper (20),0,0.485403,0.491602,0.563292,0.350129,datasets/labels/val\GreenLeafHopper (20).txt
7,val\GreenLeafHopper (26),0,0.501357,0.53876,0.91615,0.563307,datasets/labels/val\GreenLeafHopper (26).txt
8,val\GreenLeafHopper (3),0,0.480965,0.618217,0.803603,0.543928,datasets/labels/val\GreenLeafHopper (3).txt
9,val\GreenLeafHopper (45),0,0.541396,0.522727,0.733766,0.711039,datasets/labels/val\GreenLeafHopper (45).txt
10,val\GreenLeafHopper (48),0,0.546672,0.312703,0.286526,0.316964,datasets/labels/val\GreenLeafHopper (48).txt
11,val\GreenLeafHopper (54),0,0.476759,0.543282,0.268568,0.531008,datasets/labels/val\GreenLeafHopper (54).txt
12,val\GreenLeafHopper (6),0,0.503464,0.49354,0.679861,0.614987,datasets/labels/val\GreenLeafHopper (6).txt
13,val\GreenLeafHopper (60),0,0.575353,0.582687,0.353472,0.651163,datasets/labels/val\GreenLeafHopper (60).txt
14,val\GreenLeafHopper (8),0,0.532842,0.551034,0.851922,0.613695,datasets/labels/val\GreenLeafHopper (8).txt
15,val\PlantHopper (1),1,0.544747,0.440568,0.413521,0.529716,datasets/labels/val\PlantHopper (1).txt
16,val\PlantHopper (14),1,0.604708,0.474675,0.362013,0.705195,datasets/labels/val\PlantHopper (14).txt
17,val\PlantHopper (17),1,0.576658,0.392765,0.42205,0.576227,datasets/labels/val\PlantHopper (17).txt
18,val\PlantHopper (3),1,0.461039,0.562049,0.728896,0.678211,datasets/labels/val\PlantHopper (3).txt
19,val\PlantHopper (31),1,0.550388,0.457364,0.751938,0.687339,datasets/labels/val\PlantHopper (31).txt
20,val\PlantHopper (34),1,0.492313,0.488372,0.907106,0.850129,datasets/labels/val\PlantHopper (34).txt
21,val\PlantHopper (42),1,0.533826,0.497416,0.650056,0.739018,datasets/labels/val\PlantHopper (42).txt
22,val\PlantHopper (46),1,0.509974,0.463824,0.789691,0.509044,datasets/labels/val\PlantHopper (46).txt
23,val\PlantHopper (55),1,0.554721,0.388889,0.752305,0.661499,datasets/labels/val\PlantHopper (55).txt
24,val\PlantHopper (6),1,0.495942,0.540023,0.886364,0.851099,datasets/labels/val\PlantHopper (6).txt
25,val\PlantHopper (63),1,0.505814,0.536822,0.102713,0.360465,datasets/labels/val\PlantHopper (63).txt
26,val\PlantHopper (64),1,0.476055,0.527597,0.335227,0.746753,datasets/labels/val\PlantHopper (64).txt
27,val\PlantHopper (66),1,0.479974,0.418605,0.874677,0.645995,datasets/labels/val\PlantHopper (66).txt
28,val\PlantHopper (7),1,0.521733,0.518088,0.639823,0.552972,datasets/labels/val\PlantHopper (7).txt
29,val\RiceBug (1),2,0.488398,0.476098,0.923193,0.79199,datasets/labels/val\RiceBug (1).txt
30,val\RiceBug (13),2,0.584416,0.488389,0.824675,0.898497,datasets/labels/val\RiceBug (13).txt
31,val\RiceBug (19),2,0.474361,0.558786,0.583897,0.71447,datasets/labels/val\RiceBug (19).txt
32,val\RiceBug (20),2,0.484426,0.568475,0.833211,0.656331,datasets/labels/val\RiceBug (20).txt
33,val\RiceBug (26),2,0.522449,0.497416,0.927005,0.98708,datasets/labels/val\RiceBug (26).txt
34,val\RiceBug (3),2,0.495837,0.495478,0.924258,0.983204,datasets/labels/val\RiceBug (3).txt
35,val\RiceBug (33),2,0.450876,0.433463,0.832622,0.843669,datasets/labels/val\RiceBug (33).txt
36,val\RiceBug (35),2,0.507753,0.479974,0.633953,0.947028,datasets/labels/val\RiceBug (35).txt
37,val\RiceBug (45),3,0.515504,0.51615,0.410853,0.629199,datasets/labels/val\RiceBug (45).txt
38,val\RiceBug (46),2,0.467379,0.437339,0.709745,0.626615,datasets/labels/val\RiceBug (46).txt
39,val\RiceBug (48),2,0.584531,0.344315,0.779751,0.618863,datasets/labels/val\RiceBug (48).txt
40,val\RiceBug (50),2,0.482716,0.381783,0.700016,0.74031,datasets/labels/val\RiceBug (50).txt
